,scores
0,-1439.6677702190698
1,-1724.1598423024304
2,-1411.011470734658
3,-1597.4051127666935
4,-1378.5425777815192
5,-1352.6588564203278
6,-1767.2138043424964
7,-1329.6269322134863
8,-1715.6250541424702
9,-1583.7367924521257
10,-1693.5691118865934
11,-1713.5332043407132
12,-1693.1419352951302
13,-1689.9394213020032
14,-1578.0903762981382
15,-1386.5197278379108
16,-1327.762309893506
17,-1350.4287772622056
18,-1323.722668914895
19,-1647.6387520049511
20,-1634.4055343361638
21,-1713.6743078696857
22,-1625.21551594359
23,-1271.8836484554352
24,-1744.5043390819399
25,-1316.6578118891262
26,-1542.0249795314983
27,-1434.0109500956423
28,-1327.5473996308813
29,-1325.6431780535738
30,-1671.383216988434
31,-1640.9256565912747
32,-1127.057423276061
33,-1277.1844318868984
34,-1386.3568902311727
35,-1786.226373274227
36,-1361.7744172969133
37,-1800.2705133640693
38,-1401.055125910142
39,-1386.554823483932
40,-1716.2712044382863
41,-1411.767949314956
42,-1248.0230476500337
43,-1070.2733715911204
44,-1310.4814420335656
45,-1490.4221172567027
46,-1663.6550641829367
47,-1409.6605021314583
48,-1717.2301226922102
49,-1485.6566279954473
50,-1321.9030205236677
51,-1374.380069586618
52,-1345.8057739455394
53,-1111.3846385794534
54,-1548.7550323952241
55,-1178.6098288660764
56,-1374.4865074113131
57,-1678.3628431786974
58,-1217.4140019700171
59,-1611.434202399458
60,-1379.139653472443
61,-1472.2322330137927
62,-1274.4624705579608
63,-1219.320301229638
64,-1156.623515579979
65,-1351.862228620229
66,-1241.0722159154434
67,-1230.0587754232397
68,-1262.400303678359
69,-1354.0128506827275
70,-1239.8105460295872
71,-1523.2246707127401
72,-961.0613563822295
73,-1746.1618321870485
74,-1294.1292338188741
75,-1250.201088371915
76,-1312.2457847418634
77,-1389.672217370512
78,-1748.7327054157677
79,-1313.414845385726
80,-983.3644371072753
81,-986.9935425954213
82,-1211.269316167546
83,-1350.106840619229
84,-1438.594965867847
85,-1174.855272145015
86,-1082.1973661568902
87,-1545.216911182781
88,-1202.5875135987928
89,-1428.8124472643315
90,-1068.1756188970103
91,-1636.856483736377
92,-1120.7836557192911
93,-1184.7793137945494
94,-1655.4261918379577
95,-1280.6214867125943
96,-972.839258650542
97,-1608.7642999361003
98,-995.6917368627595
99,-1352.6314288301492
100,-1473.3775658783188
101,-966.6733014215177
102,-1462.5801926764143
103,-1048.15255471411
104,-1552.1701512591703
105,-1013.6037238748769
106,-1065.6321456740204
107,-1332.080529180277
108,-1060.6665975875765
109,-1159.1360744805067
110,-1237.419918571207
111,-1193.3643221916025
112,-1475.6244066044028
113,-1196.0228944305657
114,-1082.3076665586682
115,-1356.2318491826804
116,-981.4828718683469
117,-899.3929640408883
118,-1023.6935356060709
119,-1101.919018587123
120,-1531.4748957243787
121,-1717.3326102342278
122,-1520.0490917085533
123,-1561.8049525030008
124,-904.2906185190296
125,-1102.2300822889251
126,-988.0260102298546
127,-1542.4769221690062
128,-1628.4755374714152
129,-1299.8140896624477
130,-1252.162780889469
131,-1082.9441418179235
132,-1363.9946874752331
133,-1489.1482262054278
134,-739.3923110773143
135,-1079.3894853250663
136,-1210.7975445775228
137,-1552.4022577776668
138,-1283.317952982063
139,-1215.3447766680254
140,-1382.1089173234684
141,-1248.4358601950732
142,-1292.5328852560758
143,-1418.1796001752464
144,-1234.4837661133115
145,-869.9261384370171
146,-1261.8477600319347
147,-1086.1389663066998
148,-1036.428233769131
149,-1123.9861826998258
150,-1395.3874856888613
151,-890.1089049682121
152,-1166.0664458422307
153,-1077.8832471714172
154,-1035.2625463001182
